;lemmantized_reviews
10;['park', 'okay', 'good', 'time', 'annoy', 'number', 'car', 'quot', 'allow', 'quot', 'park', 'site', 'information', 'desk', 'need', 'queue', 'buster', 'type', 'person', 'question', 'could', 'quickly', 'answer', 'choose', 'time', 'visit', 'desk']
11;['stay', 'centerparcs', 'best', 'country', 'mileeverything', 'state', 'cottage', 'activity', 'absolutely', 'brilliantthe', 'parc', 'set', 'wood', 'relax', 'cleanloads', 'stuff', 'agesthe', 'add', 'bonus', 'golf', 'course', 'ground']
12;['aqua', 'dome', 'good', 'wide', 'variety', 'water', 'play', 'activites', 'slide', 'water', 'shoot', 'wave', 'ect', 'cater', 'age', 'child', '268', 'think', 'great', 'however', 'want', 'participate', 'pay', 'activity', 'good', 'deep', 'pocket', 'consequence', 'stick', 'free', 'facility', 'child', 'enjoy', 'eat', 'expensive', 'mostly', 'fast', 'food', 'book', 'late', 'person', 'premium', 'cottage', 'impress', 'dark', 'help', 'bear', 'forest', 'canopy', 'would', 'like', 'sit', 'outside', 'sun', 'patio', 'much', 'foliage']
13;['location', 'set', 'site', 'perfect', 'although', 'drive', 'seem', 'big', 'build', 'site', 'designate', 'car', 'parkaccomodation', 'let', 'general', 'state', 'site', 'accommodation', 'inside', 'furnishingsequipments', 'site', 'desperate', 'need', 'refresh', 'accomodation', 'fairly', 'well', 'equip', 'carry', 'basic', 'cookingmeal', 'preparation', 'however', 'cleanliness', 'accommodation', 'decision', 'maker', 'make', 'return', 'visit', 'future', 'standard', 'dampmusky', 'smell', 'hair', 'find', 'bed', 'towel', 'cobweb', 'find', 'accomodation', 'basin', 'clean', 'dirty', 'wall', 'etc', 'wasnt', 'address', 'despite', 'reportedreally', 'struggle', 'book', 'activity', 'mobile', 'app', 'work', 'french', 'register', 'account', 'aware', 'manage', 'activity', 'operate', 'checkincheckout', 'day', '23', 'day', 'week', 'long', 'stay', 'manage', 'book', 'activity', 'like', 'partly', 'due', 'demand', 'height', 'summer', 'holiday', 'admittedly', 'would', 'le', 'issue', 'french', 'polish', 'activity', 'manage', 'book', 'well', 'run', 'much', 'enjoy', 'childrenthe', 'aqua', 'mundo', 'one', 'highlight', 'wave', 'pool', 'water', 'fall', 'rapid', 'water', 'slide', 'etc', 'really', 'make', 'child', 'rest', 'site', 'refresh', 'many', 'area', 'look', 'tire', 'wear']
14;['holiday', 'family', 'child', 'friend', 'family', 'fabulous', 'time', 'slightly', 'apprehensive', 'arrival', 'see', 'poor', 'review', 'relate', 'park', 'rundown', 'however', 'cottage', 'everything', 'need', 'comfortable', 'stay', 'cook', 'equipment', 'eat', 'cottage', 'day', 'shop', 'overprice', 'however', 'visit', 'local', 'large', 'supermarket', 'via', 'car', 'big', 'shop', 'arrival', 'bed', 'really', 'comfortable', 'jacuzzi', 'bath', 'relax', 'facility', 'site', 'fab', 'child', 'favourite', 'activity', 'water', 'slide', 'rapid', 'old', 'son', 'also', 'enjoy', 'segway', 'also', 'enjoy', 'large', 'indoor', 'play', 'area', 'even', 'though', 'old', 'young', 'equally', 'lot', 'fun', '2nd', 'centre', 'parcs', 'holiday', 'first', 'year', 'ago', 'holland', 'overall', 'parc', 'provide', 'enjoyment', 'whole', 'family', 'would', 'definitely', 'book']
15;['often', 'drive', 'mile', 'want', 'anything', 'normandy', 'please', 'stumble', 'upon', 'centre', 'parcs', 'le', 'boisfrancs', 'idea', 'area', 'postcode', 'leaflet', 'hand', 'gate', 'tell', 'book', 'online', 'try', 'website', 'appal', 'give', 'almost', 'information', 'state', 'full', 'day', 'pa', 'euro', 'suggest', 'time', '11am', 'cheap', 'pa', 'euro', 'suggest', 'time', '4pm', 'get', 'explain', 'gate', 'could', 'get', 'website', 'book', 'anything', 'could', 'find', 'list', 'activity', 'price', 'find', 'bar', 'wifi', 'get', 'online', 'start', 'allow', 'barrier', 'manage', 'grand', 'tour', 'car', 'park', 'horrible', 'look', 'apartment', 'real', 'eyesore', 'beautiful', 'set', 'back', 'gate', 'tell', 'could', 'find', 'main', 'reception', 'felt', 'stupid', 'allow', 'drive', 'next', 'barrier', 'come', 'across', 'many', 'others', 'completely', 'lose', 'eventually', 'find', 'reception', 'desk', 'could', 'park', 'anywhere', 'near', 'take', 'ticket', 'reception', 'find', 'activity', 'day', 'pay', '22euros', 'gate', 'tell', 'thing', 'could', 'time', 'day', 'use', 'pool', 'activity', 'finish', 'pay', 'euro', 'use', 'crowd', 'pool', 'full', 'scream', 'child', 'could', 'go', 'good', 'pool', 'near', 'le', 'euro', 'centre', 'parcs', 'also', 'tell', 'could', 'restaurant', 'bill', 'ticket', 'discount', 'activity', 'finish', '1pm', 'nobody', 'would', 'surely', 'centre', 'parcs', 'swim', 'food', 'cheat', '44euros', 'nothing', 'disgust', 'leave', 'without', 'anything', 'drive', 'around', 'maze', 'activity', 'expensive', 'find', 'many', 'far', 'good', 'price', 'long', 'near', 'stay', 'separate', 'location', 'french', 'arent', 'always', 'informative', 'place', 'like', 'would', 'think', 'would', 'train', 'staff', 'good', 'say', 'speak', 'english', 'well', 'visit', 'suppose', 'bite', 'light', 'relief', 'difficult', 'try', 'time', 'turn', 'quite', 'opposite', 'visitor', 'know', 'everything', 'website', 'doesnt', 'make', 'sense', 'either', 'someone', 'need', 'rethink', 'whole', 'mess', 'interest', 'people', 'get', 'everything', 'want', 'people', 'get', 'want', 'life', 'time', 'rest', 'need', 'information', 'make', 'decision', 'would', 'like', 'rid', 'around', 'car', 'park']
16;['weu2019ve', 'return', 'week', 'center', 'parcs', 'lesbois', 'francsu2026', 'husband', 'child', '964', 'year', 'old', 'overall', 'great', 'holiday', 'would', 'back', 'european', 'center', 'parcs', 'weu2019d', 'try', 'different', 'site', 'next', 'timeweu2019d', 'book', 'premium', 'cottage', 'renew', 'close', 'centre', 'main', 'swim', 'pool', 'area', 'villa', '585', 'couldnu2019t', 'help', 'compare', 'villa', 'center', 'parcs', 'weu2019ve', 'elveden', 'sherwood', 'longleat', 'u2026', 'always', 'stay', 'woodland', 'lodge', 'executive', 'lodge', 'whilst', 'villa', 'lovely', 'even', 'though', 'class', 'premium', 'feel', 'somewhat', 'basic', 'compare', 'villa', 'sofa', 'example', 'like', 'outdoor', 'garden', 'furniture', 'rattan', 'wicker', 'indoor', 'conservatory', 'furniture', 'particularly', 'cosy', 'comfortable', 'toilet', 'separate', 'main', 'bathroom', 'fine', 'small', 'ventilate', 'properly', 'get', 'bite', 'whiffy', 'time', 'people', 'use', 'mostly', 'clean', 'lot', 'area', 'kitchen', 'bathroom', 'toilet', 'old', 'look', 'cobweb', 'everywhere', 'around', 'edge', 'cupboardscorners', 'gas', 'hob', 'wasnu2019t', 'work', 'properly', 'maintenance', 'man', 'come', 'fix', 'quickly', 'also', 'random', 'buzz', 'noise', 'drive', 'bonkers', '1hr', 'maintenance', 'come', 'fix', 'swiftly', 'point', 'note', 'villau2026', 'shower', 'curtain', 'super', 'careful', 'flood', 'bathroom', 'shower', 'also', 'oven', 'hob', 'plus', 'microwave', 'toaster', 'kettle', 'coffee', 'machine', 'dishwasher', 'find', 'strange', 'oven', 'know', 'beforehand', 'prepare', 'meal', 'etc', 'base', 'annoy', 'especially', 'find', 'restaurant', 'open', 'dinner', '7pm', 'thatu2019s', 'far', 'late', 'child', 'eat', 'dinner', 'even', 'theyu2019re', 'bed', 'time', 'would', 'need', 'dinner', '7pm', 'super', 'disappoint', 'cause', 'problem', 'plan', 'mealspacking', 'home', 'iu2019d', 'plan', '23', 'meal', 'could', 'think', 'alternative', 'fast', 'food', 'place', 'open', 'early', 'kid', 'didnu2019t', 'fancy', 'lunch', 'one', 'day', 'pizzapancakepasta', 'place', 'lovely', 'good', 'value', 'delicious', 'service', 'great', 'didnu2019t', 'eat', 'anywhere', 'else', 'drink', 'bar', 'bowl', 'spend', 'lot', 'little', 'shop', 'fresh', 'baguette', 'croissant', 'every', 'day', 'didnu2019t', 'ever', 'seem', 'lot', 'u2018freshu2019', 'milk', 'uht', 'proper', 'food', 'shop', 'local', 'intermarche', 'min', 'road', 'good', 'price', 'good', 'selectionthe', 'child', 'get', 'lot', 'use', 'large', 'soft', 'play', 'area', 'play', 'mini', 'golf', 'swim', 'twice', 'day', 'play', 'tennis', 'badminton', 'table', 'tennis', 'swim', 'pool', 'change', 'area', 'pretty', 'clean', 'actually', 'often', 'saw', 'chap', 'use', 'machine', 'clean', 'multiple', 'time', 'day', 'actual', 'pool', 'bite', 'tire', 'look', 'area', 'look', 'like', 'need', 'fresh', 'coat', 'paintrepair', 'mini', 'farm', 'road', 'villa', 'nice', 'kid', 'see', 'twice', 'nothing', 'mega', 'excite', 'way', 'farm', 'come', 'across', '23', 'decent', 'playground', 'feel', 'sad', 'little', 'beach', 'like', 'parcs', 'activity', 'pony', 'rid', 'girl', 'hat', 'mum', 'dad', 'walk', 'pony', 'donu2019t', 'think', 'confident', 'elveden', 'walk', 'around', 'member', 'staff', 'uf04a', 'walk', 'around', 'whole', 'site', 'new', 'pagoda', 'villa', 'look', 'lovely', 'far', 'away', 'kid', 'donu2019t', 'yet', 'ride', 'bike', 'mum', 'doesnu2019t', 'like', 'kid', 'desperate', 'rent', 'golf', 'buggy', 'pricey', 'felt', 'lot', 'traffic', 'road', 'parcs', 'car', 'around', 'non', 'changeover', 'day', 'lot', 'delivery', 'truck', 'van', 'main', 'road', 'area', 'plus', 'golf', 'buggy', 'aware', 'donu2019t', 'feel', 'guest', 'particularly', 'mindful', 'pedestrian', 'either', 'thing', 'may', 'helpfulu2026', 'guest', 'service', 'open', 'week', 'find', 'seem', 'open', 'changeover', 'day', 'issue', 'time', 'question', 'hubby', 'ask', 'security', 'main', 'gate', 'need', 'take', 'shoe', 'soon', 'get', 'swim', 'pool', 'entrance', 'area', 'shoe', 'change', 'area', 'dog', 'area', 'saw', 'small', 'generally', 'member', 'staff', 'good', 'english', 'would', 'didnu2019t', 'speak', 'french', 'although', 'maintenance', 'guy', 'come', 'speak', 'english', 'use', 'app', 'translate', 'haha', 'pay', 'wifi', 'wasnu2019t', 'brilliant', 'thankfully', 'signal', 'good', 'overall', 'really', 'lovely', 'holiday', 'kid', 'enjoy', 'thatu2019s', 'main', 'priority', 'would', 'swim', 'day', 'let', 'think', 'great', 'value', 'pay', 'u00a3300', 'ish', 'le', 'week', 'even', 'include', 'travel', 'cost', 'eurotunnel', 'activity', 'cost', 'much', 'le', 'well', 'think', 'prefer', 'parcs', 'often', 'feel', 'like', 'home', 'miss', 'starbucks', 'would', 'definitely', 'come', 'back', 'france', 'try', 'another', 'site', 'year', 'two']
17;['read', 'trip', 'advisor', 'review', 'little', 'nervous', 'stay', 'expectation', 'werenu2019t', 'high', 'book', 'one', 'itu2019s', 'cheap', 'school', 'holiday', 'however', 'fantastic', 'holiday', 'pleasantly', 'surprise', 'cottage', 'lovely', 'clean', 'park', 'beautiful', 'well', 'maintain', 'activity', 'offer', 'fab', 'aqua', 'mundo', 'amaze', 'kid', 'love', 'also', 'hire', 'bike', 'lot', 'cycle', 'around', 'ground', 'staff', 'polite', 'helpful', 'issue', 'holiday', 'pricey', 'especially', 'onsite', 'restaurant', 'shop', 'expect', 'sit', 'help', 'pop', 'local', 'hypermarche', 'cater', 'lovely', 'holiday', 'thank']
18;['staff', 'brilliant', 'others', 'awful', 'archery', 'tutor', 'banter', 'game', 'score', 'count', 'french', 'group', 'didnt', 'teach', 'anything', 'say', 'let', 'go', 'repeat', 'spa', 'french', 'people', 'give', 'rob', 'towel', 'french', 'kid', 'get', 'sweet', 'get', 'nothing', 'somewhere', 'love', 'centerparcs', 'least', 'time', 'first', 'le', 'bois', 'franc', 'experience']
19;['first', 'trip', 'france', 'family', 'boy', 'amp', 'familiar', 'center', 'parcs', 'decide', 'try', 'french', 'version', 'aqua', 'mundo', 'great', 'prefer', 'sherwood', 'woburn', 'although', 'year', 'old', 'prefer', 'slightly', 'wild', 'rapid', 'woburn', 'load', 'space', 'load', 'never', 'felt', 'overly', 'busy', 'load', 'excite', 'area', 'exploreeverything', 'much', 'relax', 'may', 'suit', 'fine', 'much', 'choice', 'restaurant', 'coffee', 'bar', 'open', 'time', 'seem', 'french', 'prefer', 'selfcater', 'didnt', 'matter', 'get', 'use', 'itit', 'big', 'park', 'get', 'really', 'good', 'use', 'bike', 'quiet', 'place', 'ever', 'stay', 'right', 'middle', 'foresti', 'would', 'recommend', 'stock', 'hypermarche', 'outside', 'parc', 'carrefour', 'inside', 'parc', 'limit', 'expensive']
