;lemmantized_reviews
280;['leak', 'roof', 'smell', 'damp', 'toilet', 'handle', 'fall', 'light', 'hallway', 'work', 'problem', 'problem', 'goto', 'illage', 'centre', 'report', 'two', 'poor', 'never', 'againand', 'dont', 'get', 'compensation']
281;['dont', 'usually', 'think', 'would', 'useful', 'travel', 'friend', 'young', 'kid', 'journey', 'site', 'good', 'esp', 'pool', 'load', 'kid', 'restaurant', 'free', 'meal', 'kid', 'help', 'stuff', 'site', 'cheap', 'mega', 'expensive', 'local', 'supermarket', 'vernuille', 'fine', 'price', 'ok', 'load', 'day', 'trip', 'find', 'much', 'english', 'speak', 'happy', 'try', 'long', 'try', 'tovillas', 'comfortable', 'well', 'equip', 'take', 'sharp', 'knife', 'though', 'arent', 'provide', 'apart', 'steak', 'knife', 'villa', 'clean', 'lot', 'damp', 'middle', 'forrest', 'pool', 'great', 'clean', 'safe', 'restriction', 'slide', 'parental', 'control', 'fine', 'awareweather', 'lousyall', 'great', 'holiday', 'much', 'cheap', 'center', 'parcs', 'main', 'summer', 'holiday']
282;['disappoint', 'couldnt', 'wait', 'get', 'home', 'mean', 'refurbish', 'cottage', 'definitely', 'would', 'nit', 'recommend', 'dishwasher', 'didnt', 'work', 'leak', 'roof', 'expensive', 'food', 'activity', 'room', 'damp', 'good', 'asthmatic', 'daughter']
283;['overall', 'enjoy', 'stay', 'aware', 'thing', 'get', 'expensive', 'activity', 'good', 'price', 'reflect', 'swim', 'pool', 'facility', 'excellent', 'recommend', 'avoid', 'circus', 'restaurant', 'go', 'offer', 'quot', 'child', 'entertainment', 'quot', 'get', 'one', 'balloon', 'extremely', 'price', 'bad', 'food']
284;['disappoint', 'villa', 'clean', 'smell', 'damp', 'damp', 'patch', 'ceiling', 'stair', 'bedroom', 'bathroom', 'carpet', 'upstairs', 'dirty', 'wear', 'could']
285;['second', 'time', 'le', 'bois', 'center', 'parcs', 'much', 'enjoy', 'stay', 'cottage', 'lake', 'enjoy', 'much', 'morning', 'eveningsthe', 'cottage', 'need', 'refurbishment', 'plush', 'version', 'half', 'cost', 'problem', 'staff', 'friendly', 'good', 'english', 'speak', 'however', 'try', 'french', 'alsowill', 'return', 'another', 'holiday']
286;['stay', 'weekend', 'way', 'home', 'week', 'vendu00e9ethe', 'water', 'park', 'truly', 'fantastic', 'offset', 'many', 'issue', 'poor', 'signage', 'car', 'park', 'information', 'offsite', 'cycle', 'rout', 'break', 'dishwasher', 'damage', 'cottage', 'restaurant', 'open', '7pm', 'know', 'standard', 'france', 'family', 'park', 'open', 'early', 'wouldnt', 'bother', 'pay', 'bowl', 'alley', 'expensive', 'oldnot', 'maintainedgeneral', 'lack', 'staff', 'activity', 'compare', 'competitor', 'parcs', 'child', 'playground', 'good']
287;['family', 'year', 'several', 'center', 'parcs', 'location', 'le', 'boisfrancs', 'offer', 'probably', 'one', 'best', 'indoor', 'pool', 'slide', 'complex', 'number', 'change', 'bad', 'however1', 'introduction', 'golf', 'buggy', 'hire', 'past', 'road', 'clear', 'cycle', 'around', 'complex', 'last', 'visit', 'combination', 'golf', 'buggy', 'family', 'walk', 'road', 'user', 'make', 'cycle', 'young', 'child', 'hazardous', 'opinion', 'doubt', 'number', 'golf', 'buggy', 'must', 'good', 'revenue', 'stream', 'center', 'parcs2', 'kid', 'eat', 'free', 'offer', 'little', 'mislead', 'kid', 'eat', 'free', 'buffet', 'style', 'restaurant', 'seem', 'vary', 'cost', 'adult', 'u20ac2250', 'u20ac24', 'exclude', 'drink', 'whilst', 'food', 'choice', 'good', 'queue', 'start', 'build', 'dont', 'arrive', 'restaurant', '7pm', 'open', 'would', 'like', 'try', 'restaurant', 'would', 'mean', 'pay', 'child', 'addition3', 'topper', 'include', 'early', 'book', 'different', 'activity', 'may', 'take', 'one', 'topper', 'voucher', 'use', 'voucher', 'information', 'desk', 'dome', 'voucher', 'pay', 'cycle', 'hire', 'one', 'person', 'family', 'game', 'ten', 'pin', 'bowl', 'minutesaqua', 'mundo', 'fantastic', 'pool', 'family', 'recommend', 'get', 'open', '10am', 'avoid', 'crowd', 'time', 'get', 'best', 'part', 'hour', 'queue', 'slide', 'etc']
288;['back', 'week', 'le', 'bois', 'franc', 'dread', 'go', 'due', 'lot', 'negative', 'review', 'however', 'brilliant', 'week', 'stay', 'vip', 'eden', 'update', 'center', 'parc', 'anywhere', 'nothing', 'compare', 'cottage', 'clean', 'tidy', 'matresses', 'equipment', 'look', 'brand', 'new', 'fresh', 'towel', 'deliver', 'require', 'little', 'musty', 'arrive', 'door', 'window', 'open', 'min', 'fine', 'lot', 'complain', 'lack', 'speak', 'english', 'say', 'france', 'french', 'limit', 'find', 'book', 'staff', 'speak', 'english', 'staff', 'courteous', 'pleasant', 'often', 'find', 'funny', 'side', 'thing', 'cottage', '569', 'back', 'side', 'lake', 'lovely', 'plenty', 'old', 'also', 'hire', 'bike', 'comment', 'whole', 'holiday', 'nothing', 'cener', 'parcs', 'travel', 'home', 'via', 'havre', 'eat', 'get', 'terminal', 'nothing', 'like', 'portsmouth', 'mcdonalds', 'pa', 'far', 'ferry', 'terminal', 'would', 'except', 'teenager', 'would', 'probably', 'bore', 'visit', 'place', 'twice']
289;['great', 'swim', 'pool', 'fun', 'clean', 'expect', 'communal', 'area', 'change', 'room', 'bar', 'sport', 'area', 'lack', 'general', 'maintainence', 'apparentwe', 'foul', 'smell', 'bathroom', 'leak', 'boiler', 'unable', 'fixedit', 'deserve', 'star', 'rat']
290;['great', 'holiday', 'staff', 'really', 'helpful', 'stay', 'friend', 'accommodation', 'good', 'clean', 'much', 'cheap', 'stay', 'center', 'parcs', 'still', 'experience', 'french', 'activity', 'good', 'value']
291;['good', 'young', 'age', 'child', 'go', 'teenager', 'find', 'activity', 'limitedno', 'free', 'yetalways', 'relax', 'environment', 'little', 'much', 'wish', 'toget', 'get', 'site', 'bike', 'local', 'village', 'friendly', 'offer', 'typical', 'french', 'food']
292;['chalet', 'good', 'comfortable', 'well', 'equip', 'except', 'wifi', 'useful', 'condition', 'anywhere', 'site', 'forest', 'location', 'give', 'impression', 'seclusion', 'despite', 'build', 'quite', 'well', 'pack', 'together', 'love', 'swim', 'activity', 'old', 'resident', 'bite', 'inconsiderate', 'year', 'old', 'tend', 'push', 'shove', 'survivednot', 'impress', 'speed', 'service', 'bar', 'actually', 'leave', 'wait', 'ten', 'minute', 'ignore', 'lot', 'staff']
293;['spend', 'week', 'le', 'bois', '10814', '8081', 'best', 'bit', 'cycle', 'aqua', 'mundo', 'vip', 'bed', 'cottage', 'upstairs', 'great', 'sauna', 'jaccuzi', 'bath', 'lot', 'light', 'downstairs', 'damp', 'little', 'light', 'come', 'due', 'overgrow', 'foliage', 'recommend', 'request', 'south', 'face', 'cottage', 'otherwise', 'fairly', 'dark', 'nice', 'restaurant', 'centre', 'town', 'dog', 'local', 'vet', 'town', 'check', 'open', 'hour', 'euro', 'necessary', 'requirement', 'return']
294;['use', 'site', 'base', 'visit', 'paris', '2hrs', 'harve', '2hrs', 'paris', 'bite', 'date', 'compare', 'longleate', 'clean', 'friendly', 'best', 'bit', 'flat', 'great', 'cycle', 'bed']
295;['never', 'go', 'back', 'hotel', 'room', 'door', 'would', 'open', 'lift', 'order', 'kid', 'run', 'riot', 'swim', 'control', 'leave', 'day', 'restaurant', 'open', 'seem', 'one', 'want', 'help', 'would', 'allow', 'restaurant', '830', 'say', 'full']
296;['let', 'start', 'warn', 'never', 'center', 'parcs', 'even', 'country', 'young', 'family', 'think', 'thing', 'foolishly', 'think', 'semisecure', 'compound', 'stuff', 'reasonably', 'safe', 'stay', 'day', 'stupidly', 'leave', 'rather', 'expensive', 'bike', 'trailerpushchair', 'unlock', 'go', 'swimwe', 'think', 'many', 'hire', 'one', 'around', 'probably', 'wouldnt', 'much', 'interest', 'unfortunately', 'wrong', 'dirty', 'scum', 'steal', 'return', 'leave', 'two', 'small', 'child', 'carry', 'back', 'place', 'pore', 'rainhowever', 'try', 'put', 'one', 'side', 'bungalow', 'pleasant', 'kiddy', 'love', 'pool', 'felt', 'place', 'really', 'good', 'reasonably', 'easy', 'get', 'surprise', 'give', 'drive', 'abroad', 'staff', 'mostly', 'helpful', 'apart', 'guy', 'report', 'pushchair', 'didnt', 'seem', 'give', 'toss', 'good', 'lady', 'tell', 'spa', 'nice', 'lovely', 'afternoon', 'relax', 'breakfast', 'hotel', 'good', 'price', 'average', 'hotel', 'u00a312', 'per', 'adult', 'although', 'bacon', 'somewhat', 'short', 'supply', 'maximise', 'intake', 'bacon', 'lot', 'plenty', 'kid', 'decent', 'quality', 'onsite', 'supermarket', 'fine', 'well', 'stock', 'price', 'might', 'expect', 'totally', 'excessive', 'perhaps', 'normal', 'supermarket', 'price', 'thing', 'mention', 'signage', 'around', 'place', 'interest', 'wasnt', 'call', 'easy', 'follow', 'map', 'bear', 'much', 'resemblance', 'territory', 'fine', 'get', 'hang', 'find', 'way', 'around', 'wasnt', 'easy', 'begin', 'overall', 'would', 'probably', 'back', 'mostly', 'enjoyable', 'holiday']
297;['3rd', 'time', 'le', 'bois', 'franc', 'easy', 'get', 'calais', 'worth', 'drivethe', 'park', 'lovely', 'forest', 'surround', 'old', 'chateau', 'site', 'stay', 'vip', 'villa', 'mean', 'sauna', 'amp', 'jacuzzi', 'outskirt', 'cottage', 'downside', 'villa', 'oven', 'whereas', 'believe', 'grade', 'dothe', 'pool', 'complex', 'great', 'lucky', 'weather', 'make', 'use', 'outdoor', 'poolsthe', 'restaurant', 'vary', 'crepe', 'suzette', 'really', 'good', 'italian', 'overprice', 'average', 'best', 'didnt', 'fancy', 'othersthe', 'local', 'town', 'verneuil', 'place', 'crepe', 'place', 'goodwe', 'also', 'try', 'auberge', 'le', 'barils', 'go', 'back', 'really', 'good', 'value', 'le', 'italian', 'onsite', 'significantly', 'good', 'food', 'min', 'driveas', 'mention', 'third', 'time', 'center', 'parcs', 'good', 'location', 'family', 'break']
298;['sure', 'parc', 'good', 'year', 'ago', 'need', 'serious', 'care', 'attention', 'facility', 'include', 'aqua', 'mondo', 'tire', 'communal', 'area', 'dirty', 'grow', 'bad', 'quot', 'refurbish', 'quot', 'premium', 'cottage', 'lac', 'dailette', 'instead']
299;['back', 'week', 'le', 'bois', 'franc', 'fantastic', 'holiday', 'best', 'bite', 'aqua', 'mundo', 'son', 'love', 'whiz', 'round', 'indoor', 'river', 'climb', 'wall', 'rope', 'swing', 'say', 'u201cawesomeu201d', 'pool', 'quiet', 'first', 'thing', 'late', 'even', 'change', 'room', 'clean', 'morning', 'alsowe', 'find', 'restaurant', 'price', 'bite', 'expensive', 'u20ac2490', 'per', 'adult', 'jungle', 'circus', 'u20ac890', 'burger', 'burger', 'bar', 'plenty', 'place', 'eat', 'verneuil', 'around', 'church', 'eat', 'crepe', 'suzette', 'say', 'nice', 'restaurant', 'open', 'time', 'vary', 'lot', 'close', 'didnu2019t', 'reopen', 'till', '7the', 'supermarket', 'well', 'stock', 'overprice', 'compare', 'cost', 'cucumber', 'onsite', 'carrefour', 'u20ac220', 'u20ac090', 'big', 'carrefour', 'town', 'near', 'offsite', 'supermarket', 'intermarche', '8km', 'center', 'parcsactivities', 'also', 'bite', 'costly', 'youu2019ve', 'book', 'holiday', 'advance', 'receive', 'u201ctoppingsu201d', 'voucher', 'use', 'selection', 'activity', 'use', 'segway', 'great', 'fun', 'stay', 'vip', 'cottage', 'totally', 'enjoy', 'sauna', 'well', 'equip', 'kitchen', 'instruction', 'use', 'fancy', 'coffee', 'machine', 'donu2019t', 'get', 'oven', 'get', 'combi', 'microwavegrill', 'oak', '569', 'minute', 'walk', 'dome', 'hire', 'bike', 'year', 'old', 'need', 'usonly', 'slight', 'niggle', 'center', 'parcs', 'suppose', 'car', 'free', 'usual', 'quite', 'drive', 'round', 'non', 'arrivaldeparture', 'day', 'also', 'hire', 'electric', 'golf', 'style', 'buggy', 'prepare', 'whiz', 'round', 'learn', 'use', 'french', 'must', 'staff', 'donu2019t', 'speak', 'much', 'englishoverall', 'itu2019s', 'layout', 'style', 'english', 'center', 'parcs', 'great', 'fun', 'definitely', 'return']
300;['stay', 'centreparcs', 'le', 'boisfrancs', 'cottage', 'perfectly', 'nice', 'amp', 'set', 'pleasant', 'gouge', 'everything', 'else', 'meal', 'pay', 'wifi', 'minigolf', 'amp', 'fund', 'clearly', 'put', 'back', 'upkeep']
301;['first', 'trip', 'excellent', 'much', 'good', 'expect', 'would', 'recommend', 'upgrade', 'cottage', 'choose', 'one', 'edge', 'park', 'quietness', 'activity', 'try', 'really', 'good', 'good', 'value', 'money']
302;['enjoyable', 'holiday', 'le', 'boisfrancs', 'parc', 'well', 'lay', 'cottage', 'good', 'book', 'vip', '746', 'reasonably', 'close', 'centre', 'well', 'appoint', 'amp', 'clean', 'also', 'within', 'minute', 'park', 'aqua', 'mundo', 'excellent', 'kid', 'really', 'enjoy', 'slide', 'etc', 'supermarket', 'expensive', 'restaurant', 'food', 'pretty', 'good', 'expensive', 'get', 'however', 'good', 'alternative', 'shop', 'eat', 'local', 'town', '8km', 'away', 'intermarche', 'good', 'shop', 'good', 'pizzeria', 'beside', 'church', 'main', 'square', 'great', 'holiday', 'particularly', 'good', 'base', 'enjoy', 'aqua', 'mundo', 'onsite', 'activity', 'explore', 'normandy', 'paris']
303;['basically', 'set', 'parcs', 'french', 'twist', 'kid', 'love', 'well', 'equip', 'pool', 'spend', 'lot', 'time', 'especially', 'morning', 'quiet', 'kitchen', 'conventional', 'grill', 'combi', 'one', 'part', 'microwave', 'worth', 'note', 'cafe', 'healthy', 'choice', 'restaurant', 'open', '7pm', 'prepare', 'afternoon', 'snack', 'keep', 'kid', 'go', 'activity', 'expensive', 'suggest', 'book', 'early', 'get', 'free', 'call', 'topping', 'minor', 'maintenance', 'issue', 'whole', 'get', 'expect']
304;['may', 'wrong', 'write', 'review', 'somewhere', 'never', 'actually', 'stay', 'make', 'book', 'dec', '2013', 'specific', 'event', 'attend', 'normandy', 'aug', '2014', 'pay', 'deposit', 'balance', 'request', 'within', 'amp', 'last', 'month', 'receive', 'email', 'say', 'book', 'cancel', 'large', 'company', 'want', 'take', 'park', 'week', 'eventually', 'receive', 'full', 'refund', 'wasnt', 'initially', 'forthcoming', 'work', 'hard', 'get', 'money', 'back']
305;['realy', 'good', 'park', 'happy', 'vist', 'tell', 'friend', 'iwas', 'verry', 'happy', 'see', 'alot', 'car', 'park', 'nee', 'cottage', 'make', 'saad', 'see', 'car', 'insade', 'park']
306;['enjoyable', 'stay', 'great', 'cycle', 'relax', 'feel', 'pool', 'area', 'good', 'especially', 'water', 'rapid', 'small', 'number', 'restaurant', 'expect', 'good', 'easy', 'get', 'food', 'whenever', 'want', 'even', 'though', 'park', 'busy', 'supermarket', 'good', 'think', 'quite', 'good', 'value']
307;['book', 'best', 'available', 'accommodation', 'joke', 'old', 'fashion', 'furniture', 'amp', 'decor', 'damp', 'smell', 'mouldy', 'ceiling', 'break', 'furniture', 'amp', 'decoration', 'stain', 'carpet', 'etc', 'stay', 'le', '24hours', 'staff', 'could', 'help', 'matter', 'plus', 'plaza', 'unfriendly', 'lack', 'atmosphere', 'amp', '630pm', 'day', 'arrival', 'serve', 'food', 'amp', 'small', 'hungry', 'child', 'uslove', 'centre', 'parcs', 'would', 'recommend', 'go', 'europe']
308;['aqua', 'mondo', 'fantastic', 'child', 'really', 'enjoy', 'park', 'nice', 'well', 'maintain', 'natural', 'always', 'activity', 'take', 'place', 'keep', 'everyone', 'happy', 'thing', 'didnt', 'like', 'price', 'food', 'activity', 'captive', 'audience', 'use', 'take', 'advantage', 'also', 'restaurant', 'close', 'limit', 'option', 'quite', 'bite', 'overall', 'would', 'recommend', 'really', 'good', 'family', 'break']
309;['visit', 'mid', 'july', '2014', 'family', 'three', 'vip', 'cottage', 'due', 'want', 'bother', 'sheet', 'towel', 'plus', 'want', 'dvd', 'player', 'bite', 'seclusion', 'arrival', 'easy', 'check', 'without', 'leave', 'car', 'cottage', 'pedestrian', 'track', 'positive', 'far', 'cottage', 'overlook', 'two', 'cottage', 'close', 'adjacent', 'one', 'like', 'dutch', 'site', 'preciously', 'visit', 'bite', 'disappoint', 'cottage', 'present', 'clean', 'tidy', 'bed', 'make', 'lot', 'towel', 'kitchen', 'basic', 'expect', 'european', 'centerparcs', 'essential', 'take', 'bottle', 'openercorkscrew', 'dvd', 'player', 'didnt', 'work', 'call', 'maintenance', 'man', 'arrive', 'within', 'minute', 'despite', '830pm', 'apparently', 'switch', 'lamp', 'side', 'room', 'get', 'dvd', 'player', 'come', 'cable', 'dvd', 'player', 'miss', 'go', 'get', 'one', 'immediately', 'kettle', 'break', 'quick', 'chat', 'reception', 'result', 'brand', 'new', 'kettle', 'cottage', 'within', 'hour', 'good', 'customer', 'service', 'count', 'activity', 'one', 'word', 'excellent', 'reasonably', 'price', 'u00a37', 'time', 'try', 'quad', 'bike', 'archery', 'roll', 'ball', 'mini', 'golf', 'high', 'wire', 'aqua', 'speed', 'mini', 'quad', 'bike', 'brilliant', 'family', 'archery', 'fun', 'mini', 'golf', 'overprice', 'slightly', 'need', 'maintenance', 'time', 'limit', 'could', 'round', 'time', 'high', 'wire', 'good', 'child', 'tall', '14m', 'wasnt', '85', 'year', 'old', 'find', 'mini', 'one', 'bite', 'game', 'aqua', 'speed', 'whilst', 'good', 'bite', 'pointless', 'could', 'apart', 'use', 'float', 'normal', 'swim', 'time', 'easy', 'book', 'either', 'fun', 'shop', 'reception', 'problem', 'get', 'time', 'want', 'aqua', 'mundo', 'fantastic', 'array', 'slide', 'rope', 'swing', 'jet', 'get', 'busy', 'afternoon', 'best', 'time', 'open', '6pm', 'plenty', 'locker', 'change', 'room', 'restaurant', 'shop', 'eat', 'jungle', 'circus', 'every', 'night', 'whilst', 'gourmet', 'food', 'certainly', 'tasty', 'edible', 'good', 'value', 'u20ac2040', 'per', 'adult', 'special', 'even', 'euro', 'struggle', 'see', 'get', 'different', 'colour', 'glass', 'shop', 'use', 'petit', 'moulin', 'breakfast', 'good', 'good', 'croissant', 'baguette', 'reasonably', 'price', 'carrefour', 'reasonably', 'price', 'lager', 'milk', 'etc', 'gift', 'shop', 'bite', 'pointless', 'reception', 'general', 'contact', 'dont', 'speak', 'french', 'go', 'struggle', 'hardly', 'staff', 'speak', 'english', 'generally', 'friendly', 'could', 'learn', 'bite', 'customer', 'service', 'american', 'bike', 'hire', 'easy', 'hire', 'good', 'choice', 'cant', 'complain', 'car', 'evident', 'around', 'park', 'odd', 'one', 'didnt', 'expect', 'tend', 'put', 'notice', 'car', 'shouldnt', 'couldnt', 'see', 'actually', 'fin', 'people', 'felt', 'safe', 'let', 'son', 'cycle', 'round', 'would', 'visit', 'probably', 'due', 'general', 'tire', 'feel', 'build', 'cottage', 'spend', 'bite', 'upgrade', 'furniture', 'heat', 'system', 'example', 'would', 'make', 'difference', 'mindset', 'france', 'centerparcs', 'probably', 'good', 'time', 'expect', 'level', 'comfort', 'service', 'parcs', 'may', 'disappoint']
310;['visit', 'belgium', 'first', 'trip', 'france', 'vip', 'villa', '746', 'well', 'equip', 'sauna', 'double', 'bed', 'upstairs', 'single', 'room', 'downstairs', 'park', 'minute', 'away', 'didnt', 'keep', 'walk', 'mile', 'get', 'car', 'area', '69', 'park', 'facility', 'kitchen', 'small', 'adequate', 'full', 'size', 'dishwasherfridge', 'freezer', 'box', 'pool', 'exactly', 'kid', 'blast', 'day', 'speak', 'little', 'french', 'able', 'get', 'staff', 'speak', 'french', 'france', 'prepare', 'site', 'supermarket', 'price', 'large', 'supermarket', 'mile', 'away', 'want', 'journey', 'use', 'tesco', 'voucher', 'go', 'disneyland', 'paris', 'hour', 'journey', 'way', 'manageable', 'site', 'horse', 'rid', 'daughter', 'love', 'euro', 'hour', 'rid', 'comparable', 'rat', 'didnt', 'pay', 'paintballing', 'part', 'free', 'topping', 'get', 'activity', 'free', 'select', 'list', 'part', 'book', 'kid', 'also', 'try', 'segway', 'paintballing', 'love', 'would', 'recommend', 'france', 'basic', 'grasp', 'french', 'want', 'soak', 'european', 'culture', 'english', 'people', 'majority', 'french', 'much', 'cheap', 'equivalent', 'week', 'standard', 'wise', 'scratch', 'pool', 'area', 'little', 'unkempt', 'v', 'villa', 'perfectly', 'acceptable', 'vip', 'one', 'probably', 'standard', 'comfort', 'plus', 'travel', 'time', 'calais', 'hour', 'allow', 'break']
311;['bike', 'hire', 'great', 'enough', 'choice', 'restaurant', 'open', 'want', 'use', 'still', 'nice', 'pool', 'area', 'need', 'bite', 'refurb', 'still', 'prbabaly', 'best', 'thing', 'park', 'bungalow', 'date', 'even', 'though', 'refurbed', 'proper', 'oven', 'microwave', 'cook', 'pain', 'probabaly', 'enoucarge', 'eat']
312;['ready', 'mix', 'review', 'little', 'aprehensive', 'holiday', 'le', 'bois', 'center', 'parcs', 'travel', 'two', 'child', 'month', 'amp', 'year', 'part', 'big', 'family', 'froup', 'child', 'range', 'age', 'month', 'yearsthe', 'park', 'brilliant', 'family', 'holiday', 'water', 'park', 'fantastic', 'age', 'range', 'child', 'would', 'stay', 'day', 'hunger', 'hadnt', 'get', 'good', 'water', 'warm', 'baby', 'bite', 'lovely', 'several', 'slide', 'keep', 'old', 'one', 'entertain', 'cafe', 'pool', 'area', 'although', 'choose', 'back', 'lodge', 'lunchfor', 'worry', 'cost', 'extra', 'activity', 'keep', 'little', 'one', 'entertain', 'dont', 'worry', 'water', 'park', 'adventure', 'play', 'park', 'neednt', 'spend', 'anything', 'else', 'also', 'small', 'animal', 'park', 'young', 'one', 'group', 'like', 'enough', 'spend', 'hour', 'book', 'get', 'free', 'pa', 'fantastic', 'family', 'bowl', 'trip', 'would', 'cost', 'euro', 'redeemmed', 'voucher', 'two', 'use', 'play', 'squash', 'twice', 'pony', 'trek', 'saunter', 'shetland', 'pony', 'around', 'park', 'path', 'half', 'hour', 'daughter', 'nephew', 'niece', 'enjoy', 'big', 'horse', 'challenge', 'rid', 'available', 'near', 'park', 'entrance', 'accomodation', 'basic', 'clean', 'need', 'cot', 'high', 'chair', 'include', 'every', 'lodge', 'extra', 'costthe', 'supermarket', 'site', 'good', 'expect', 'dear', 'usual', 'ridiculous', 'take', 'lot', 'food', 'buy', 'fresh', 'item', 'work', 'fineice', 'cream', 'fruit', 'smoothy', 'available', 'centre', 'good', 'warn', 'washer', 'launderette', 'take', 'plenty', 'clothe', 'hand', 'wash', 'stuffwe', 'eat', 'main', 'plaza', 'reasonable', 'food', 'nice', 'enoughdont', 'upgrade', 'premium', 'lodge', 'comfort', 'sister', 'pay', 'extra', '100', 'euro', 'premium', 'difference', 'bed', 'make', 'garden', 'furniture', 'good', 'quality', 'main', 'bedroom', 'unless', 'thing', 'important', 'save', 'euro', 'ask', 'lodge', '316', 'region', 'perfect', 'position', 'everything', 'lodge', 'mile', 'away', 'main', 'activity', 'good', 'pointsgreat', 'family', 'funfantastic', 'water', 'park', 'play', 'parksfelt', 'safemassage', 'bath', 'even', 'comfort', 'lodgesbad', 'pointshardly', 'english', 'speak', 'staffgardens', 'could', 'good', 'strim', 'lodge', 'mile', 'main', 'pool', 'areawe', 'dieppenewhaven', 'cross', 'way', 'park', 'hour', 'dieppe', 'would', 'recommend', 'cross', 'small', 'childrenwe', 'fab', 'holiday', 'would', 'recommend']
313;['standard', 'comfort', 'little', 'cottage', 'internet', 'connexionif', 'plan', 'family', 'careful', 'lot', 'robber', 'feel', 'insecurity', 'lot', 'music', 'till', 'late', 'neighboors', 'come', 'party', 'dont', 'pay', 'choose', 'location', 'walk', '2km', 'pool', 'center', 'really', 'disappoint', 'holiday', 'first', 'amp', 'last', 'stay', 'place']
314;['great', 'stay', 'center', 'parcs', 'cumbria', 'decide', 'head', 'france', 'read', 'review', 'resort', 'hop', 'overly', 'high', 'first', 'let', 'concur', 'reviewer', 'take', 'pillow', 'thank', 'goodness', 'cottage', 'look', 'refurbish', 'hop', 'rather', 'quiet', 'area', 'park', 'however', 'friday', 'saturday', 'night', 'plague', 'rowdy', 'resident', 'party', 'drive', 'park', '4am', 'car', 'drive', 'rule', 'enforce', 'constantly', 'dodge', 'traffic', 'bike', 'reviewer', 'also', 'comment', 'seemingly', 'odd', 'time', 'restaurant', 'resort', 'open', 'would', 'seem', 'french', 'dont', 'understand', 'many', 'people', 'get', 'hungry', '2pm', '7pm', 'since', 'rare', 'campus', 'restaurant', 'open', 'timethere', 'internet', 'unless', 'orange', 'france', 'account', 'pay', 'one', 'leave', 'electronics', 'homewe', 'spend', 'day', 'use', 'start', 'point', 'normandy', 'euro', 'disney', 'water', 'park', 'campus', 'great', 'spend', 'hour', 'day', 'stay', 'park', 'day', 'spa', 'soso']
315;['take', 'midweek', 'break', 'center', 'parcs', 'easter', 'really', 'like', 'park', 'take', 'day', 'figure', 'everything', 'get', 'around', 'bike', 'doddle', 'aquamundo', 'fantastic', 'provide', 'hour', 'entertainment', 'kid', 'adult', 'various', 'slide', 'rapid', 'decent', 'selection', 'restaurant', 'plus', 'mini', 'supermarket', 'plaza', 'course', 'bite', 'expensive', 'fancy', 'cook', 'suggest', 'stock', 'intermarche', '8km', 'park', 'nearby', 'town', 'verneuilsuravre', 'nice', 'pretty', 'little', 'french', 'town', 'nice', 'cafesrestaurants', 'around', 'main', 'town', 'square', 'park', 'addon', 'activity', 'quite', 'expensive', 'expect', 'need', 'speakunderstand', 'french', 'get', 'around', 'staff', 'helpful', 'friendly', 'reasonably', 'clean', 'accommodation', 'could', 'use', 'improvement', 'stay', 'premium', 'villa', 'bite', 'datedwe', 'also', 'go', 'cycle', 'outside', 'park', 'recommend', 'terrain', 'bite', 'hilly', 'watch', 'great', 'break', 'would', 'consider', 'go', 'back']
316;['great', 'weekend', 'much', 'little', 'time', 'extra', 'activity', 'bite', 'expensive', 'pay', 'themexcellent', 'service', 'food', 'u2026', 'well', 'couldnt', 'stop', 'eatingwe', 'wonderful', 'time', 'though', 'go', 'back', 'asap']
317;['particular', 'parcs', 'let', 'reputation', 'quite', 'child', 'activity', 'open', 'thing', 'break', 'ill', 'supervise', 'maintain', 'visit', 'different', 'center', 'parcs', 'felt', 'one', 'pull', 'rebuild', 'staff', 'care', 'equipment', 'old', 'break']
318;['please', 'save', 'money', 'elsewhere', 'everything', 'overprice', 'wash', 'machine', 'site', 'laundrette', 'dirty', 'mouldy', 'ant', 'infest', 'chalet', 'desperately', 'need', 'refurbish', 'service', 'poor', 'shut', 'constantly', 'give', 'incorrect', 'information', 'location', 'activity', 'either', 'spend', 'time', 'queue', '20minute', 'activity', 'good', 'bite', 'free', 'pool', 'probably', 'heave', 'everyday', 'week']
319;['dont', 'gosimple', 'asenglish', 'centre', 'park', 'much', 'friendlybeter', 'maintain', 'etc', 'cottage', 'awfulwardrobe', 'door', 'fall', 'offbeds', 'dampwoke', 'morning', 'wetmy', 'kid', 'end', 'sickchest', 'infectionsmould', 'windowsmy', 'mother', 'sleep', 'couch', 'bed', 'dampand', 'couldnt', 'put', 'clothe', 'wardrobe', 'smell', 'horrendouslighting', 'around', 'village', 'realy', 'badwe', 'use', 'torch', 'phonesdidnt', 'feel', 'safe', 'allwhen', 'kid', 'run', 'back', 'cottage', 'slip', 'wooden', 'floorno', 'mat', 'anything', 'highly', 'dangerous', 'whole', 'place', 'kipstay', 'away']
320;['excellent', 'break', 'age', 'go', 'family', 'age', 'range', 'grandma', 'cabin', 'clean', 'everything', 'need', 'quite', 'nice', 'wifi', 'teenager', 'communicate', 'load', 'activity', 'segway', 'great', 'fun', 'horse', 'rid', 'golf', 'staff', 'really', 'friendly', 'even', 'one', 'didnt', 'speak', 'english', 'golf', 'centre', 'good', 'nice', 'course', 'lot', 'practice', 'area', 'circus', 'nice', 'touch', 'side', 'food', 'expensive', 'take']
